Namespace(model='nnet', skip_preprocess=True, train_prop='0.25')

Training a nnet model

Iteration 1, loss = 0.91560350
Iteration 2, loss = 0.73217355
Iteration 3, loss = 0.56428104
Iteration 4, loss = 0.48211304
Iteration 5, loss = 0.46082582
Iteration 6, loss = 0.44951144
Iteration 7, loss = 0.44260246
Iteration 8, loss = 0.43404670
Iteration 9, loss = 0.42650657
Iteration 10, loss = 0.42174893
Iteration 11, loss = 0.42023649
Iteration 12, loss = 0.41135496
Iteration 13, loss = 0.40770847
Iteration 14, loss = 0.40018747
Iteration 15, loss = 0.39882025
Iteration 16, loss = 0.39422416
Iteration 17, loss = 0.38972497
Iteration 18, loss = 0.38700845
Iteration 19, loss = 0.38671732
Iteration 20, loss = 0.38029344
Iteration 21, loss = 0.38062111
Iteration 22, loss = 0.37533441
Iteration 23, loss = 0.37126303
Iteration 24, loss = 0.36957630
Iteration 25, loss = 0.36662344
Iteration 26, loss = 0.36474596
Iteration 27, loss = 0.36250009
Iteration 28, loss = 0.35954973
Iteration 29, loss = 0.35692721
Iteration 30, loss = 0.35607796
Iteration 31, loss = 0.35344983
Iteration 32, loss = 0.35490433
Iteration 33, loss = 0.35425559
Iteration 34, loss = 0.34983089
Iteration 35, loss = 0.35038051
Iteration 36, loss = 0.34713991
Iteration 37, loss = 0.34488454
Iteration 38, loss = 0.34460714
Iteration 39, loss = 0.35043606
Iteration 40, loss = 0.34261673
Iteration 41, loss = 0.34445712
Iteration 42, loss = 0.33751967
Iteration 43, loss = 0.34054005
Iteration 44, loss = 0.33848482
Iteration 45, loss = 0.33315427
Iteration 46, loss = 0.33549876
Iteration 47, loss = 0.33428410
Iteration 48, loss = 0.33163912
Iteration 49, loss = 0.33138714
Iteration 50, loss = 0.32918022
Iteration 51, loss = 0.32858860
Iteration 52, loss = 0.32959594
Iteration 53, loss = 0.32623721
Iteration 54, loss = 0.32461297
Iteration 55, loss = 0.32745674
Iteration 56, loss = 0.32510065
Iteration 57, loss = 0.32136567
Iteration 58, loss = 0.32259211
Iteration 59, loss = 0.32443761
Iteration 60, loss = 0.32018314
Iteration 61, loss = 0.31978197
Iteration 62, loss = 0.31756056
Iteration 63, loss = 0.31791992
Iteration 64, loss = 0.31918443
Iteration 65, loss = 0.31363007
Iteration 66, loss = 0.31475020
Iteration 67, loss = 0.31932911
Iteration 68, loss = 0.31641932
Iteration 69, loss = 0.31207485
Iteration 70, loss = 0.31251381
Iteration 71, loss = 0.30915123
Iteration 72, loss = 0.31071925
Iteration 73, loss = 0.30926203
Iteration 74, loss = 0.30898992
Iteration 75, loss = 0.30906191
Iteration 76, loss = 0.30951830
Iteration 77, loss = 0.30924226
Iteration 78, loss = 0.30822004
Iteration 79, loss = 0.30584812
Iteration 80, loss = 0.30427371
Iteration 81, loss = 0.30856025
Iteration 82, loss = 0.31253007
Iteration 83, loss = 0.30379522
Iteration 84, loss = 0.30254403
Iteration 85, loss = 0.30148801
Iteration 86, loss = 0.30245099
Iteration 87, loss = 0.30161342
Iteration 88, loss = 0.30272719
Iteration 89, loss = 0.29968117
Iteration 90, loss = 0.30310459
Iteration 91, loss = 0.29845453
Iteration 92, loss = 0.30474373
Iteration 93, loss = 0.29886144
Iteration 94, loss = 0.30614523
Iteration 95, loss = 0.29802529
Iteration 96, loss = 0.29803147
Iteration 97, loss = 0.29699611
Iteration 98, loss = 0.29860385
Iteration 99, loss = 0.29618014
Iteration 100, loss = 0.29891130
Iteration 101, loss = 0.29811574
Iteration 102, loss = 0.29338351
Iteration 103, loss = 0.29244581
Iteration 104, loss = 0.30159649
Iteration 105, loss = 0.29229475
Iteration 106, loss = 0.29814687
Iteration 107, loss = 0.28967328
Iteration 108, loss = 0.29277744
Iteration 109, loss = 0.29203751
Iteration 110, loss = 0.28918966
Iteration 111, loss = 0.28948345
